,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
34,90251,0,1,35,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,4300,1400,NaN,NaN,NaN,1,7,4,30.0,34.0,3
35,90251,0,1,36,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,1200,2900,NaN,NaN,NaN,0,7,4,31.0,35.0,3
36,90251,0,1,37,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1100,2200,NaN,NaN,NaN,0,7,4,32.0,36.0,3
37,90251,0,1,38,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1200,2400,NaN,NaN,NaN,0,7,4,33.0,37.0,3
38,90251,0,1,39,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1600,2700,NaN,NaN,NaN,0,7,4,34.0,38.0,3
39,90251,0,1,40,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,4600,1600,NaN,NaN,NaN,1,7,4,35.0,39.0,3
40,90251,0,2,41,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1100,1200,NaN,NaN,NaN,0,5,4,36.0,40.0,4
41,90251,0,2,42,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1100,1100,NaN,NaN,NaN,0,5,4,37.0,41.0,4
42,90251,0,2,43,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,1300,2700,NaN,NaN,NaN,0,5,4,38.0,42.0,4
43,90251,0,2,44,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1100,1900,NaN,NaN,NaN,0,5,4,39.0,43.0,4
44,90251,0,2,45,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,4900,3100,NaN,NaN,NaN,1,5,4,40.0,44.0,4
45,90251,0,2,46,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1100,1200,NaN,NaN,NaN,0,5,4,41.0,45.0,4
46,90251,0,2,47,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,2800,1700,NaN,NaN,NaN,0,5,4,42.0,46.0,4
47,90251,0,2,48,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,1500,1300,NaN,NaN,NaN,0,5,4,43.0,47.0,4
48,90251,0,2,49,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1300,3400,NaN,NaN,NaN,0,5,4,44.0,48.0,4
49,90251,0,2,50,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1200,1400,NaN,NaN,NaN,0,5,4,45.0,49.0,4
50,90251,0,2,51,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1200,1300,NaN,NaN,NaN,0,5,4,46.0,50.0,4
51,90251,0,2,52,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1900,2400,NaN,NaN,NaN,0,5,4,47.0,51.0,4
52,90251,0,2,53,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,6000,3400,NaN,NaN,NaN,1,5,4,48.0,52.0,5
53,90251,0,2,54,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1900,2100,NaN,NaN,NaN,0,5,4,49.0,53.0,5
54,90251,0,2,55,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1000,1700,NaN,NaN,NaN,0,5,4,50.0,54.0,5
55,90251,0,2,56,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,2600,1700,NaN,NaN,NaN,0,5,4,51.0,55.0,5
56,90251,0,2,57,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1400,1100,NaN,NaN,NaN,0,5,4,52.0,56.0,5
57,90251,0,2,58,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,2800,2600,NaN,NaN,NaN,0,5,4,53.0,57.0,5
58,90251,0,2,59,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,3500,1000,NaN,NaN,NaN,1,5,4,54.0,58.0,5
59,90251,0,2,60,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,1400,1800,NaN,NaN,NaN,0,5,4,55.0,59.0,5
60,90251,0,2,61,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1200,2700,NaN,NaN,NaN,0,5,4,56.0,60.0,5
61,90251,0,2,62,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1200,2400,NaN,NaN,NaN,0,5,4,57.0,61.0,5
62,90251,0,2,63,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,1300,1800,NaN,NaN,NaN,0,5,4,58.0,62.0,5
63,90251,0,2,64,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,4000,2900,NaN,NaN,NaN,1,5,4,59.0,63.0,5
64,90251,0,2,65,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,2200,2200,NaN,NaN,NaN,0,5,4,60.0,64.0,6
65,90251,0,2,66,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,2300,1500,NaN,NaN,NaN,0,5,4,61.0,65.0,6
66,90251,0,2,67,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1400,1400,NaN,NaN,NaN,0,5,4,62.0,66.0,6
67,90251,0,2,68,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,1700,2100,NaN,NaN,NaN,0,5,4,63.0,67.0,6
68,90251,0,2,69,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1300,1100,NaN,NaN,NaN,0,5,4,64.0,68.0,6
69,90251,0,2,70,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,2100,2100,NaN,NaN,NaN,0,5,4,65.0,69.0,6
70,90251,0,2,71,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,4200,1800,NaN,NaN,NaN,1,5,4,66.0,70.0,6
71,90251,0,2,72,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1700,2500,NaN,NaN,NaN,0,5,4,67.0,71.0,6
72,90251,0,2,73,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1400,1400,NaN,NaN,NaN,0,5,4,68.0,72.0,6
73,90251,0,2,74,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1300,3400,NaN,NaN,NaN,0,5,4,69.0,73.0,6
74,90251,0,2,75,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,1600,3000,NaN,NaN,NaN,0,5,4,70.0,74.0,6
75,90251,0,2,76,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,2000,1600,NaN,NaN,NaN,0,5,4,71.0,75.0,6
