,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
38,56536,0,1,39,D,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,1500,2900,no_gain,1,287,0,19,1,34.0,38.0,3,0
39,56536,0,1,40,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_gain,3100,3100,no_gain,1,261,1,19,1,35.0,39.0,3,0
40,56536,0,2,41,C,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,gain,2600,2400,gain,1,312,1,7,1,36.0,40.0,4,0
41,56536,0,2,42,D,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,1200,2200,no_gain,1,288,0,7,1,37.0,41.0,4,0
42,56536,0,2,43,H,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1000,1100,gain,1,245,0,7,1,38.0,42.0,4,0
43,56536,0,2,44,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_gain,2000,1400,no_gain,1,345,0,7,1,39.0,43.0,4,0
44,56536,0,2,45,F,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1400,1100,no_gain,1,280,0,7,1,40.0,44.0,4,0
45,56536,0,2,46,J,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1700,2200,gain,1,254,0,7,1,41.0,45.0,4,0
46,56536,0,2,47,B,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,gain,5600,2900,gain,1,255,1,7,1,42.0,46.0,4,0
47,56536,0,2,48,E,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_gain,1600,1200,no_gain,1,351,0,7,1,43.0,47.0,4,0
48,56536,0,2,49,I,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1400,2200,gain,1,244,0,7,1,44.0,48.0,4,0
49,56536,0,2,50,A,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,1300,1100,gain,1,263,0,7,1,45.0,49.0,4,0
50,56536,0,2,51,G,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_gain,1800,3100,no_gain,1,507,0,7,1,46.0,50.0,4,0
51,56536,0,2,52,L,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,no_gain,2800,1100,no_gain,1,346,1,7,1,47.0,51.0,4,0
52,56536,0,2,53,C,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,gain,2200,3100,gain,1,391,0,7,1,48.0,52.0,5,0
53,56536,0,2,54,F,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1200,1100,no_gain,1,358,0,7,1,49.0,53.0,5,0
54,56536,0,2,55,G,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_gain,1800,1700,no_gain,1,305,0,7,1,50.0,54.0,5,0
55,56536,0,2,56,J,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1500,2900,gain,1,247,0,7,1,51.0,55.0,5,0
56,56536,0,2,57,D,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,1300,3000,no_gain,1,273,0,7,1,52.0,56.0,5,0
57,56536,0,2,58,A,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,1900,2400,gain,1,369,0,7,1,53.0,57.0,5,0
58,56536,0,2,59,E,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_gain,1100,2000,no_gain,1,291,0,7,1,54.0,58.0,5,0
59,56536,0,2,60,H,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1400,1200,gain,1,315,0,7,1,55.0,59.0,5,0
60,56536,0,2,61,L,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,no_gain,4300,2200,no_gain,1,338,1,7,1,56.0,60.0,5,0
61,56536,0,2,62,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_gain,2000,3100,no_gain,1,294,0,7,1,57.0,61.0,5,0
62,56536,0,2,63,B,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,gain,1200,1100,gain,1,335,0,7,1,58.0,62.0,5,0
63,56536,0,2,64,I,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1200,2400,gain,1,347,0,7,1,59.0,63.0,5,0
64,56536,0,2,65,D,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,2400,2900,no_gain,1,260,0,7,1,60.0,64.0,6,0
65,56536,0,2,66,L,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,no_gain,1700,1800,no_gain,1,266,0,7,1,61.0,65.0,6,0
66,56536,0,2,67,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_gain,4600,2300,no_gain,1,296,1,7,1,62.0,66.0,6,0
67,56536,0,2,68,H,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1900,3500,gain,1,345,0,7,1,63.0,67.0,6,0
68,56536,0,2,69,C,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,gain,1300,1600,gain,1,353,0,7,1,64.0,68.0,6,0
69,56536,0,2,70,B,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,gain,1200,2000,gain,1,233,0,7,1,65.0,69.0,6,0
70,56536,0,2,71,I,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1500,1700,gain,1,312,0,7,1,66.0,70.0,6,0
71,56536,0,2,72,J,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1300,1100,gain,1,429,0,7,1,67.0,71.0,6,0
72,56536,0,2,73,G,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_gain,1600,2900,no_gain,1,353,0,7,1,68.0,72.0,6,0
73,56536,0,2,74,A,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,2400,1200,gain,1,300,0,7,1,69.0,73.0,6,0
74,56536,0,2,75,E,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_gain,2300,1200,no_gain,1,294,0,7,1,70.0,74.0,6,0
75,56536,0,2,76,F,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,4300,1600,no_gain,1,339,1,7,1,71.0,75.0,6,0
