"","X","PID","time_elapsed","index","stimulus_id","painting","response","rt"
"182",4030,"6mfmY",361279,31,1,"aiony-haust-jmATI5Q_YgY-unsplash.jpg",93,4.059
"183",4031,"6mfmY",364790,32,39,"philip-martin-5aGUyCW_PJw-unsplash.jpg",92,3.509
"184",4032,"6mfmY",367686,33,48,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",93,2.894
"185",4033,"6mfmY",370833,34,45,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",88,3.144
"186",4034,"6mfmY",405082,35,29,"leilani-angel-K84vnnzxmTQ-unsplash.jpg",93,34.247
"187",4035,"6mfmY",410358,36,15,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",88,5.274
"188",4036,"6mfmY",413941,37,27,"jurica-koletic-7YVZYZeITc8-unsplash.jpg",90,3.581
"189",4037,"6mfmY",421940,38,11,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg",93,7.997
"190",4038,"6mfmY",424170,39,24,"joel-mott-LaK153ghdig-unsplash.jpg",84,2.228
"191",4039,"6mfmY",432158,40,23,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",88,7.986
"192",4040,"6mfmY",436605,41,13,"erik-lucatero-d2MSDujJl2g-unsplash.jpg",97,4.446
"193",4041,"6mfmY",441318,42,16,"giano-currie-5-9YOsmf8IQ-unsplash.jpg",96,4.711
"194",4042,"6mfmY",444873,43,21,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg",91,3.553
"195",4043,"6mfmY",448893,44,26,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",87,4.018
"196",4044,"6mfmY",452522,45,5,"batel-studio-ttSRjiYG_WM-unsplash.jpg",95,3.627
"197",4045,"6mfmY",455889,46,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg",93,3.366
"198",4046,"6mfmY",463881,47,18,"good-faces-xmSWVeGEnJw-unsplash.jpg",93,7.99
"199",4047,"6mfmY",481650,48,43,"raamin-ka-0qJBEzudn5E-unsplash.jpg",90,17.768
"200",4048,"6mfmY",484884,49,20,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",87,3.233
"251",6755,"8WXnd",13372,0,11,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg",83,2.018
"252",6756,"8WXnd",15094,1,32,"nathan-dumlao-ger61_TX6oI-unsplash.jpg",39,1.719
"253",6757,"8WXnd",16678,2,45,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",89,1.582
"254",6758,"8WXnd",18158,3,44,"rikonavt-HQjfrvdTfak-unsplash.jpg",98,1.478
"255",6759,"8WXnd",19749,4,29,"leilani-angel-K84vnnzxmTQ-unsplash.jpg",86,1.588
"256",6760,"8WXnd",21353,5,34,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg",72,1.6
"257",6761,"8WXnd",22781,6,21,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg",93,1.425
"258",6762,"8WXnd",24396,7,0,"abstral-official-cyOKLSgkgCE-unsplash.jpg",31,1.613
"259",6763,"8WXnd",25921,8,37,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg",61,1.521
"260",6764,"8WXnd",27564,9,30,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",35,1.64
"261",6765,"8WXnd",29288,10,26,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",95,1.721
"262",6766,"8WXnd",30759,11,48,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",59,1.467
"263",6767,"8WXnd",31893,12,12,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",77,1.131
"264",6768,"8WXnd",33444,13,15,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",78,1.55
"265",6769,"8WXnd",34653,14,10,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg",84,1.206
"266",6770,"8WXnd",35997,15,16,"giano-currie-5-9YOsmf8IQ-unsplash.jpg",73,1.341
"267",6771,"8WXnd",37184,16,41,"prince-akachi-i2hoD-C2RUA-unsplash.jpg",93,1.184
"268",6772,"8WXnd",38724,17,22,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg",60,1.537
"269",6773,"8WXnd",40168,18,31,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg",86,1.441
"270",6774,"8WXnd",41596,19,39,"philip-martin-5aGUyCW_PJw-unsplash.jpg",72,1.425
"271",6775,"8WXnd",42781,20,6,"ben-o-bro-C5XyLljkMrY-unsplash.jpg",87,1.183
"272",6776,"8WXnd",43986,21,18,"good-faces-xmSWVeGEnJw-unsplash.jpg",98,1.199
"273",6777,"8WXnd",45565,22,27,"jurica-koletic-7YVZYZeITc8-unsplash.jpg",40,1.575
"274",6778,"8WXnd",47338,23,13,"erik-lucatero-d2MSDujJl2g-unsplash.jpg",35,1.77
"275",6779,"8WXnd",49201,24,49,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",33,1.857
"276",6780,"8WXnd",50789,25,40,"prince-akachi-4Yv84VgQkRM-unsplash.jpg",84,1.583
"277",6781,"8WXnd",52109,26,3,"art-hauntington-jzY0KRJopEI-unsplash.jpg",89,1.317
"278",6782,"8WXnd",53461,27,7,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg",77,1.349
"279",6783,"8WXnd",55102,28,35,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",37,1.64
"280",6784,"8WXnd",56485,29,25,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",82,1.381
"281",6785,"8WXnd",58241,30,42,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg",96,1.752
"282",6786,"8WXnd",59448,31,24,"joel-mott-LaK153ghdig-unsplash.jpg",94,1.204
"283",6787,"8WXnd",61045,32,43,"raamin-ka-0qJBEzudn5E-unsplash.jpg",82,1.594
"284",6788,"8WXnd",63219,33,47,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg",95,2.171
"285",6789,"8WXnd",64784,34,17,"gleb-lukomets-paBzWCPN23k-unsplash.jpg",66,1.56
"286",6790,"8WXnd",66405,35,14,"freddy-kearney-o-ioeoATbIM-unsplash.jpg",82,1.618
"287",6791,"8WXnd",68113,36,33,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg",66,1.704
"288",6792,"8WXnd",69573,37,8,"bruce-dixon-3M9WJQVHzog-unsplash.jpg",78,1.458
"289",6793,"8WXnd",71120,38,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg",65,1.545
"290",6794,"8WXnd",72509,39,23,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",95,1.386
"291",6795,"8WXnd",74063,40,1,"aiony-haust-jmATI5Q_YgY-unsplash.jpg",76,1.551
"292",6796,"8WXnd",75517,41,38,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",86,1.451
"293",6797,"8WXnd",77081,42,9,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",99,1.56
"294",6798,"8WXnd",78649,43,5,"batel-studio-ttSRjiYG_WM-unsplash.jpg",100,1.564
"295",6799,"8WXnd",80302,44,19,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",89,1.65
"296",6800,"8WXnd",81926,45,36,"ospan-ali-mGdA2fzjWLo-unsplash.jpg",93,1.621
"297",6801,"8WXnd",83575,46,28,"justin-chen-J7Cf1Gch49E-unsplash.jpg",35,1.646
"298",6802,"8WXnd",85550,47,2,"arjunsyah-TBUA5KHJn6k-unsplash.jpg",69,1.973
"299",6803,"8WXnd",86934,48,20,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",76,1.382
"300",6804,"8WXnd",88704,49,4,"barna-bartis-2x3vfVxwR7o-unsplash.jpg",29,1.767
