PID,practice,trial,run,task,stimulus_duration,iti,is_odd_ball,path,response,rt,version,no_response,acc
40201,0,67,1,body_parts,400,300,1,Stimuli/Experimental_stims/localizer/body_parts/nihal-karkala-LlOfbQD-IJ0-unsplash.jpg,NaN,NaN,2,1,0
40201,0,68,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/nick-page-WTNmgJtwzGI-unsplash.jpg,NaN,NaN,2,1,0
40201,0,69,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/sina-rezakhani-d1gQi0Jl05U-unsplash (1).jpg,NaN,NaN,2,1,0
40201,0,70,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/meghan-thompson-U1b8OB0QpIo-unsplash.jpg,1,157,2,0,0
40201,0,71,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/davidcohen-qghuLqyh3nE-unsplash.jpg,1,0,2,0,0
40201,0,72,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-QyzlAZjm0r0-unsplash.jpg,1,66,2,0,0
40201,0,73,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/juja-han-Z8-6EI2tYtw-unsplash.jpg,1,136,2,0,0
40201,0,74,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/natalie-grainger-8uB5kFKWWkk-unsplash.jpg,1,232,2,0,0
40201,0,75,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/debby-hudson--B_757qSA4k-unsplash.jpg,1,87,2,0,0
40201,0,76,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/pure-julia-E9Q4bqYHtIM-unsplash.jpg,1,224,2,0,0
40201,0,77,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/charles-etoroma-1fo0biloDOc-unsplash.jpg,0,124,2,0,1
40201,0,78,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/david-fanuel-qnV8X7OViNY-unsplash.jpg,1,2,2,0,0
40201,0,79,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/diana-polekhina-SwWjCbIIoFE-unsplash.jpg,1,125,2,0,0
40201,0,80,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/ant-rozetsky-bXQd8JXx0vs-unsplash.jpg,1,4,2,0,0
40201,0,81,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,1,106,2,0,0
40201,0,82,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/freestocks-qw9LFf5T790-unsplash.jpg,1,245,2,0,0
40201,0,83,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/carlos-henrique-NAOJKwZswbs-unsplash.jpg,1,108,2,0,0
40201,0,84,1,body_parts,400,300,1,Stimuli/Experimental_stims/localizer/body_parts/boyd-christiansen-uVj7kewrZ-o-unsplash.jpg,1,4,2,0,1
40201,0,85,1,body_parts,400,300,0,Stimuli/Experimental_stims/localizer/body_parts/nick-page-jAGdpOGvLAA-unsplash.jpg,1,70,2,0,0
40201,0,86,1,body_parts,400,14000,0,Stimuli/Experimental_stims/localizer/body_parts/lilartsy-1KkhQ8uL28g-unsplash.jpg,0,73,2,0,1
40201,0,87,1,objects,400,300,1,Stimuli/Experimental_stims/localizer/objects/yossy-made-yulian-WaEqwDSIeTY-unsplash.jpg,0,85,2,0,0
40201,0,88,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/namroud-gorguis-FZWivbri0Xk-unsplash.jpg,0,139,2,0,1
40201,0,89,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/muhammad-toqeer-NRJ9ipvz2iE-unsplash.jpg,1,165,2,0,0
40201,0,90,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/chris-briggs-x9TCnxNBofE-unsplash.jpg,0,79,2,0,1
40201,0,91,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/collab-media-eddtBBbaw0Y-unsplash.jpg,0,152,2,0,1
40201,0,92,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/nordwood-themes-E9tFH39iRPE-unsplash.jpg,1,34,2,0,0
40201,0,93,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/oriento-maVIpNNtmlQ-unsplash.jpg,1,110,2,0,0
40201,0,94,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/alex-lvrs-2zDw14yCYqk-unsplash.jpg,0,74,2,0,1
40201,0,95,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/quaritsch-photography-lZ8onQ1wuY8-unsplash.jpg,1,88,2,0,0
40201,0,96,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/saif71-com-VIKdvmGUhq8-unsplash.jpg,1,96,2,0,0
40201,0,97,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/yoann-siloine-_T4w3JDm6ug-unsplash.jpg,0,89,2,0,1
40201,0,98,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/nicolas-hippert-kfr_eSrR08M-unsplash.jpg,1,70,2,0,0
40201,0,99,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/designecologist-hvgd0ygXuQQ-unsplash.jpg,1,25,2,0,0
40201,0,100,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/dario-mendez-WmF_XLF4-Rs-unsplash.jpg,0,10,2,0,1
40201,0,101,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/quino-al-4SNUcHPiC8c-unsplash.jpg,1,267,2,0,0
40201,0,102,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/hipster-mum-XookgCxFw6Q-unsplash.jpg,1,246,2,0,0
