"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","response_ends_trial","trial_duration","scramble_acc","scramble_no_response","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","final_decisions_no_response","","html-keyboard-response","2013","3482300","0.0-5.0-262.0-2.0-0.0","NaN","67183","","null","","","","null","","260","","","4","","","","1","","0.1","12.099999999999973","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2014","3482409","0.0-5.0-262.0-3.0","NaN","67183","","null","","","","null","","260","","","4","","","","","","0.1","12.199999999999973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2015","3482520","0.0-5.0-263.0-0.0","NaN","67183","","null","","","","null","","261","","","4","","","","1","","0.1","12.299999999999972","","0","","","","1300","4","14","11","faces","outdoor_scenes","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","0","no_gain4","gain4","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2016","3482635","0.0-5.0-263.0-2.0-0.0","NaN","67183","","null","","","","null","","261","","","4","","","","1","","0.1","12.399999999999972","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2017","3482750","0.0-5.0-263.0-3.0","NaN","67183","","null","","","","null","","261","","","4","","","","","","0.1","12.499999999999972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2018","3482867","0.0-5.0-264.0-0.0","NaN","67183","","null","","","","null","","262","","","4","","","","1","","0.1","12.599999999999971","","0","","","","3700","4","24","13","body_parts","faces","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","1","gain6","no_gain1","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2019","3482985","0.0-5.0-264.0-2.0-0.0","NaN","67183","","null","","","","null","","262","","","4","","","","1","","0.1","12.69999999999997","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2020","3483098","0.0-5.0-264.0-3.0","NaN","67183","","null","","","","null","","262","","","4","","","","","","0.1","12.79999999999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2021","3483219","0.0-5.0-265.0-0.0","NaN","67183","","null","","","","null","","263","","","4","","","","1","","0.1","12.89999999999997","","0","","","","1500","4","6","39","outdoor_scenes","objects","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","1","gain1","no_gain4","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2022","3483334","0.0-5.0-265.0-2.0-0.0","NaN","67183","","null","","","","null","","263","","","4","","","","1","","0.1","12.99999999999997","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2023","3483452","0.0-5.0-265.0-3.0","NaN","67183","","null","","","","null","","263","","","4","","","","","","0.1","13.09999999999997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2024","3483572","0.0-5.0-266.0-0.0","NaN","67183","","null","","","","null","","264","","","4","","","","1","","0.1","13.199999999999969","","0","","","","1500","4","11","13","outdoor_scenes","faces","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","1","gain4","no_gain1","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2025","3483687","0.0-5.0-266.0-2.0-0.0","NaN","67183","","null","","","","null","","264","","","4","","","","1","","0.1","13.299999999999969","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2026","3483804","0.0-5.0-266.0-3.0","NaN","67183","","null","","","","null","","264","","","4","","","","","","0.1","13.399999999999968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2027","3483922","0.0-5.0-267.0-0.0","NaN","67183","","null","","","","null","","265","","","4","","","","1","","0.1","13.499999999999968","","0","","","","1400","4","4","31","outdoor_scenes","body_parts","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","1","gain2","no_gain5","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2028","3484036","0.0-5.0-267.0-2.0-0.0","NaN","67183","","null","","","","null","","265","","","4","","","","1","","0.1","13.599999999999968","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2029","3484150","0.0-5.0-267.0-3.0","NaN","67183","","null","","","","null","","265","","","4","","","","","","0.1","13.699999999999967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2030","3484266","0.0-5.0-268.0-0.0","NaN","67183","","null","","","","null","","266","","","4","","","","1","","0.1","13.799999999999967","","0","","","","1700","4","1","11","outdoor_scenes","outdoor_scenes","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","0","no_gain2","gain4","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2031","3484375","0.0-5.0-268.0-2.0-0.0","NaN","67183","","null","","","","null","","266","","","4","","","","1","","0.1","13.899999999999967","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2032","3484489","0.0-5.0-268.0-3.0","NaN","67183","","null","","","","null","","266","","","4","","","","","","0.1","13.999999999999966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2033","3484601","0.0-5.0-269.0-0.0","NaN","67183","","null","","","","null","","267","","","4","","","","1","","0.1","14.099999999999966","","0","","","","2500","4","14","24","faces","body_parts","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","0","no_gain4","gain6","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2034","3484711","0.0-5.0-269.0-2.0-0.0","NaN","67183","","null","","","","null","","267","","","4","","","","1","","0.1","14.199999999999966","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
