"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","response_ends_trial","trial_duration","scramble_acc","scramble_no_response","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","higher_outcome_chosen","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","final_decisions_confirmation","","html-keyboard-response","1320","655886","0.0-5.0-33.0-1.0-0.0","NaN","19377","","null","","","","null","","31","","","1","","","","","","0","4.366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1321","655998","0.0-5.0-33.0-3.0","NaN","19377","","null","","","","null","","31","","","1","","","","","","0.1","4.366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1322","656116","0.0-5.0-34.0-0.0","NaN","19377","","null","","","","null","","32","","","1","","","","1","","0.1","4.465999999999999","","0","","","","1600","1","35","1","body_parts","outdoor_scenes","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","0","no_gain5","gain6","","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","1323","656227","0.0-5.0-34.0-2.0-0.0","NaN","19377","","null","","","","null","","32","","","1","","","","1","","0.1","4.565999999999999","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1324","656343","0.0-5.0-34.0-3.0","NaN","19377","","null","","","","null","","32","","","1","","","","","","0.1","4.665999999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1325","656356","0.0-5.0-35.0-0.0","NaN","19377","","8","","","","68","","33","","","1","","","","0","","0.008","4.765999999999998","","0","","","","2000","1","16","9","faces","outdoor_scenes","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","50","50","","","","","","1","16","outdoor_scenes","faces","","","","","","","","","","","chosen","0","no_gain1","gain5","0","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1326","656366","0.0-5.0-35.0-1.0-0.0","NaN","19377","","null","","","","null","","33","","","1","","","","","","0","4.773999999999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1327","656474","0.0-5.0-35.0-3.0","NaN","19377","","null","","","","null","","33","","","1","","","","","","0.1","4.773999999999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1328","656531","0.0-5.0-36.0-0.0","NaN","19377","","52","","","","68","","34","","","1","","","","0","","0.052","4.873999999999998","","0","","","","1100","1","3","9","outdoor_scenes","outdoor_scenes","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","50","50","","","","","","1","3","outdoor_scenes","outdoor_scenes","","","","","","","","","","","chosen","0","no_gain5","gain5","0","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1329","656537","0.0-5.0-36.0-1.0-0.0","NaN","19377","","null","","","","null","","34","","","1","","","","","","0","4.9259999999999975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
