"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","scramble_acc","warning","scramble_no_response","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","higher_outcome_chosen","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","iti_localizer","","html-keyboard-response","247","470895","0.0-2.0-93.0-1.0","24","25736","female","null","","","","null","","91","","","470579","1","","","","","","300","114700","316","118886","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","248","471303","0.0-2.0-94.0-0.0","24","25736","female","41","","","","68","0","92","","Stimuli/Experimental_stims/localizer/body_parts/niu-niu-5HzOtV-FSlw-unsplash.jpg","470895","1","body_parts","","0","0","1","400","115000","408","119202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","249","471616","0.0-2.0-94.0-1.0","24","25736","female","null","","","","null","","92","","","471303","1","","","","","","300","115400","313","119610","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","250","472034","0.0-2.0-95.0-0.0","24","25736","female","27","","","","68","0","93","","Stimuli/Experimental_stims/localizer/body_parts/igordoon-primus-CdyHqfrbGIs-unsplash.jpg","471616","1","body_parts","","0","0","1","400","115700","418","119923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","251","472395","0.0-2.0-95.0-1.0","24","25736","female","null","","","","null","","93","","","472034","1","","","","","","300","116100","361","120341","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","252","472822","0.0-2.0-96.0-0.0","24","25736","female","NaN","","","","null","NaN","94","","Stimuli/Experimental_stims/localizer/body_parts/carlos-henrique-NAOJKwZswbs-unsplash.jpg","472395","1","body_parts","","0","1","0","400","116400","427","120702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","253","473141","0.0-2.0-96.0-1.0","24","25736","female","null","","","","null","","94","","","472822","1","","","","","","300","116800","319","121129","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","254","473556","0.0-2.0-97.0-0.0","24","25736","female","NaN","","","","null","NaN","95","","Stimuli/Experimental_stims/localizer/body_parts/liv-bruce-M0oVPGsWk1E-unsplash.jpg","473141","1","body_parts","","0","1","0","400","117100","415","121448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","255","473870","0.0-2.0-97.0-1.0","24","25736","female","null","","","","null","","95","","","473556","1","","","","","","300","117500","314","121863","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","256","474287","0.0-2.0-98.0-0.0","24","25736","female","NaN","","","","null","NaN","96","","Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-9Zf6yh7RYbQ-unsplash.jpg","473870","1","body_parts","","0","1","0","400","117800","417","122177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","257","474603","0.0-2.0-98.0-1.0","24","25736","female","null","","","","null","","96","","","474287","1","","","","","","300","118200","316","122594","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","258","475017","0.0-2.0-99.0-0.0","24","25736","female","40","","","","68","0","97","","Stimuli/Experimental_stims/localizer/body_parts/debby-hudson--B_757qSA4k-unsplash.jpg","474603","1","body_parts","","0","0","1","400","118500","414","122910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","259","475341","0.0-2.0-99.0-1.0","24","25736","female","null","","","","null","","97","","","475017","1","","","","","","300","118900","324","123324","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","260","475759","0.0-2.0-100.0-0.0","24","25736","female","NaN","","","","null","NaN","98","","Stimuli/Experimental_stims/localizer/body_parts/betzy-arosemena-YHdgnygtVCQ-unsplash.jpg","475341","1","body_parts","","0","1","0","400","119200","418","123648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","261","476073","0.0-2.0-100.0-1.0","24","25736","female","null","","","","null","","98","","","475759","1","","","","","","300","119600","314","124066","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","262","476485","0.0-2.0-101.0-0.0","24","25736","female","NaN","","","","null","NaN","99","","Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-Q7qRyaurQfo-unsplash.jpg","476073","1","body_parts","","1","1","0","400","119900","412","124380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","263","476805","0.0-2.0-101.0-1.0","24","25736","female","null","","","","null","","99","","","476485","1","","","","","","300","120300","320","124792","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","264","477228","0.0-2.0-102.0-0.0","24","25736","female","NaN","","","","null","NaN","100","","Stimuli/Experimental_stims/localizer/body_parts/deborah-diem-ieVxpPjl1e0-unsplash.jpg","476805","1","body_parts","","0","1","0","400","120600","423","125112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","265","477544","0.0-2.0-102.0-1.0","24","25736","female","null","","","","null","","100","","","477228","1","","","","","","300","121000","316","125535","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","266","477957","0.0-2.0-103.0-0.0","24","25736","female","67","","","","68","0","101","","Stimuli/Experimental_stims/localizer/body_parts/jasper-garratt-Ng_Kl7K6V8Y-unsplash.jpg","477544","1","body_parts","","0","0","1","400","121300","413","125851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","267","478290","0.0-2.0-103.0-1.0","24","25736","female","null","","","","null","","101","","","477957","1","","","","","","300","121700","333","126264","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","268","478707","0.0-2.0-104.0-0.0","24","25736","female","NaN","","","","null","NaN","102","","Stimuli/Experimental_stims/localizer/body_parts/jan-romero-DL4DDQb8yjc-unsplash.jpg","478290","1","body_parts","","0","1","0","400","122000","417","126597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","269","479025","0.0-2.0-104.0-1.0","24","25736","female","null","","","","null","","102","","","478707","1","","","","","","300","122400","318","127014","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","270","479446","0.0-2.0-105.0-0.0","24","25736","female","36","","","","68","0","103","","Stimuli/Experimental_stims/localizer/body_parts/i-am_nah--S4OsO0c6Ts-unsplash.jpg","479025","1","body_parts","","0","0","1","400","122700","421","127332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","271","479765","0.0-2.0-105.0-1.0","24","25736","female","null","","","","null","","103","","","479446","1","","","","","","300","123100","319","127753","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","272","480287","0.0-2.0-106.0-0.0","24","25736","female","67","","","","68","0","104","","Stimuli/Experimental_stims/localizer/body_parts/semen-zhuravlev-_XxH_mV8dnk-unsplash (1).jpg","479765","1","body_parts","","0","0","1","400","123400","522","128072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","273","480603","0.0-2.0-106.0-1.0","24","25736","female","null","","","","null","","104","","","480287","1","","","","","","300","123800","316","128594","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","274","481018","0.0-2.0-107.0-0.0","24","25736","female","43","","","","68","0","105","","Stimuli/Experimental_stims/localizer/body_parts/sippakorn-yamkasikorn-32_sJlJa5gA-unsplash.jpg","480603","1","body_parts","","0","0","1","400","124100","415","128910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","275","495051","0.0-2.0-107.0-1.0","24","25736","female","null","","","","null","","105","","","481018","1","","","","","","14000","124500","14033","129325","14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","276","495478","0.0-2.0-108.0-0.0","24","25736","female","37","","","","75","1","106","","Stimuli/Experimental_stims/localizer/objects/quino-al-8gWEAAXJjtI-unsplash.jpg","495051","1","objects","","1","0","1","400","138500","427","143358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","277","495804","0.0-2.0-108.0-1.0","24","25736","female","null","","","","null","","106","","","495478","1","","","","","","300","138900","326","143785","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","278","496229","0.0-2.0-109.0-0.0","24","25736","female","133","","","","68","0","107","","Stimuli/Experimental_stims/localizer/objects/oriento-maVIpNNtmlQ-unsplash.jpg","495804","1","objects","","0","0","1","400","139200","425","144111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","279","496606","0.0-2.0-109.0-1.0","24","25736","female","null","","","","null","","107","","","496229","1","","","","","","300","139600","377","144536","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","280","497023","0.0-2.0-110.0-0.0","24","25736","female","326","","","","68","0","108","","Stimuli/Experimental_stims/localizer/objects/chris-briggs-x9TCnxNBofE-unsplash.jpg","496606","1","objects","","0","0","1","400","139900","417","144913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","281","497337","0.0-2.0-110.0-1.0","24","25736","female","null","","","","null","","108","","","497023","1","","","","","","300","140300","314","145330","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","282","497763","0.0-2.0-111.0-0.0","24","25736","female","168","","","","68","0","109","","Stimuli/Experimental_stims/localizer/objects/saif71-com-VIKdvmGUhq8-unsplash.jpg","497337","1","objects","","0","0","1","400","140600","426","145644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","283","498086","0.0-2.0-111.0-1.0","24","25736","female","null","","","","null","","109","","","497763","1","","","","","","300","141000","323","146070","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","284","498498","0.0-2.0-112.0-0.0","24","25736","female","220","","","","68","0","110","","Stimuli/Experimental_stims/localizer/objects/nicolas-hippert-kfr_eSrR08M-unsplash.jpg","498086","1","objects","","0","0","1","400","141300","412","146393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","285","498820","0.0-2.0-112.0-1.0","24","25736","female","null","","","","null","","110","","","498498","1","","","","","","300","141700","322","146805","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","286","499233","0.0-2.0-113.0-0.0","24","25736","female","NaN","","","","null","NaN","111","","Stimuli/Experimental_stims/localizer/objects/adriano-pucciarelli-BE7yaZnZX6o-unsplash.jpg","498820","1","objects","","0","1","0","400","142000","413","147127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","287","499560","0.0-2.0-113.0-1.0","24","25736","female","null","","","","null","","111","","","499233","1","","","","","","300","142400","327","147540","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","288","499975","0.0-2.0-114.0-0.0","24","25736","female","228","","","","68","0","112","","Stimuli/Experimental_stims/localizer/objects/girl-with-red-hat-Xxg-r574pLE-unsplash.jpg","499560","1","objects","","0","0","1","400","142700","415","147867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","289","500288","0.0-2.0-114.0-1.0","24","25736","female","null","","","","null","","112","","","499975","1","","","","","","300","143100","313","148282","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","290","500705","0.0-2.0-115.0-0.0","24","25736","female","NaN","","","","null","NaN","113","","Stimuli/Experimental_stims/localizer/objects/mulyadi-tWp0VSlSdMI-unsplash.jpg","500288","1","objects","","0","1","0","400","143400","417","148595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","291","501018","0.0-2.0-115.0-1.0","24","25736","female","null","","","","null","","113","","","500705","1","","","","","","300","143800","313","149012","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","292","501431","0.0-2.0-116.0-0.0","24","25736","female","64","","","","68","0","114","","Stimuli/Experimental_stims/localizer/objects/yoann-siloine-_T4w3JDm6ug-unsplash.jpg","501018","1","objects","","0","0","1","400","144100","413","149325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","293","501755","0.0-2.0-116.0-1.0","24","25736","female","null","","","","null","","114","","","501431","1","","","","","","300","144500","324","149738","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","294","502175","0.0-2.0-117.0-0.0","24","25736","female","59","","","","68","0","115","","Stimuli/Experimental_stims/localizer/objects/designecologist-hvgd0ygXuQQ-unsplash.jpg","501755","1","objects","","0","0","1","400","144800","420","150062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","295","502497","0.0-2.0-117.0-1.0","24","25736","female","null","","","","null","","115","","","502175","1","","","","","","300","145200","322","150482","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","296","502924","0.0-2.0-118.0-0.0","24","25736","female","95","","","","68","0","116","","Stimuli/Experimental_stims/localizer/objects/namroud-gorguis-FZWivbri0Xk-unsplash.jpg","502497","1","objects","","0","0","1","400","145500","427","150804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","297","503233","0.0-2.0-118.0-1.0","24","25736","female","null","","","","null","","116","","","502924","1","","","","","","300","145900","309","151231","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","298","503646","0.0-2.0-119.0-0.0","24","25736","female","NaN","","","","null","NaN","117","","Stimuli/Experimental_stims/localizer/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg","503233","1","objects","","0","1","0","400","146200","413","151540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","299","503979","0.0-2.0-119.0-1.0","24","25736","female","null","","","","null","","117","","","503646","1","","","","","","300","146600","333","151953","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","300","504406","0.0-2.0-120.0-0.0","24","25736","female","NaN","","","","null","NaN","118","","Stimuli/Experimental_stims/localizer/objects/mockup-graphics-v_a3DWpOFc0-unsplash.jpg","503979","1","objects","","0","1","0","400","146900","427","152286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","301","504716","0.0-2.0-120.0-1.0","24","25736","female","null","","","","null","","118","","","504406","1","","","","","","300","147300","310","152713","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","302","505142","0.0-2.0-121.0-0.0","24","25736","female","NaN","","","","null","NaN","119","","Stimuli/Experimental_stims/localizer/objects/carlos-felipe-ramirez-mesa-HW7bfB3ERSQ-unsplash.jpg","504716","1","objects","","0","1","0","400","147600","426","153023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","303","505468","0.0-2.0-121.0-1.0","24","25736","female","null","","","","null","","119","","","505142","1","","","","","","300","148000","326","153449","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","304","505897","0.0-2.0-122.0-0.0","24","25736","female","NaN","","","","null","NaN","120","","Stimuli/Experimental_stims/localizer/objects/dario-mendez-hnJ2VNZzbns-unsplash.jpg","505468","1","objects","","0","1","0","400","148300","429","153775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","305","506249","0.0-2.0-122.0-1.0","24","25736","female","null","","","","null","","120","","","505897","1","","","","","","300","148700","352","154204","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","306","506659","0.0-2.0-123.0-0.0","24","25736","female","NaN","","","","null","NaN","121","","Stimuli/Experimental_stims/localizer/objects/mockup-graphics-aUkYaG12Dgs-unsplash.jpg","506249","1","objects","","0","1","0","400","149000","410","154556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","307","506982","0.0-2.0-123.0-1.0","24","25736","female","null","","","","null","","121","","","506659","1","","","","","","300","149400","323","154966","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","308","507400","0.0-2.0-124.0-0.0","24","25736","female","NaN","","","","null","NaN","122","","Stimuli/Experimental_stims/localizer/objects/sam-moghadam-khamseh-kvmdsTrGOBM-unsplash.jpg","506982","1","objects","","0","1","0","400","149700","418","155289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","309","507710","0.0-2.0-124.0-1.0","24","25736","female","null","","","","null","","122","","","507400","1","","","","","","300","150100","310","155707","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","310","508130","0.0-2.0-125.0-0.0","24","25736","female","NaN","","","","null","NaN","123","","Stimuli/Experimental_stims/localizer/objects/sam-moghadam-khamseh-L_7MQsHl_aU-unsplash.jpg","507710","1","objects","","0","1","0","400","150400","420","156017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","311","508449","0.0-2.0-125.0-1.0","24","25736","female","null","","","","null","","123","","","508130","1","","","","","","300","150800","319","156437","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","312","508865","0.0-2.0-126.0-0.0","24","25736","female","NaN","","","","null","NaN","124","","Stimuli/Experimental_stims/localizer/objects/adriano-pucciarelli-Jl3S1yM8gi8-unsplash.jpg","508449","1","objects","","0","1","0","400","151100","416","156756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","313","509179","0.0-2.0-126.0-1.0","24","25736","female","null","","","","null","","124","","","508865","1","","","","","","300","151500","314","157172","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","314","509594","0.0-2.0-127.0-0.0","24","25736","female","NaN","","","","null","NaN","125","","Stimuli/Experimental_stims/localizer/objects/dario-mendez-WmF_XLF4-Rs-unsplash.jpg","509179","1","objects","","1","1","0","400","151800","415","157486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","315","523615","0.0-2.0-127.0-1.0","24","25736","female","null","","","","null","","125","","","509594","1","","","","","","14000","152200","14021","157901","14000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","316","524037","0.0-2.0-128.0-0.0","24","25736","female","NaN","","","","null","NaN","126","","Stimuli/Experimental_stims/localizer/outdoor_scenes/andres-sanz-uILhNE1VcwA-unsplash.jpg","523615","1","outdoor_scenes","","0","1","0","400","166200","422","171922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","317","524353","0.0-2.0-128.0-1.0","24","25736","female","null","","","","null","","126","","","524037","1","","","","","","300","166600","316","172344","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","318","524773","0.0-2.0-129.0-0.0","24","25736","female","NaN","","","","null","NaN","127","","Stimuli/Experimental_stims/localizer/outdoor_scenes/pascal-debrunner-1WQ5RZuH9xo-unsplash.jpg","524353","1","outdoor_scenes","","0","1","0","400","166900","420","172660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","319","525082","0.0-2.0-129.0-1.0","24","25736","female","null","","","","null","","127","","","524773","1","","","","","","300","167300","309","173080","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","320","525497","0.0-2.0-130.0-0.0","24","25736","female","NaN","","","","null","NaN","128","","Stimuli/Experimental_stims/localizer/outdoor_scenes/chris-holgersson-zshyCr6HGw0-unsplash.jpg","525082","1","outdoor_scenes","","0","1","0","400","167600","415","173389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","321","525803","0.0-2.0-130.0-1.0","24","25736","female","null","","","","null","","128","","","525497","1","","","","","","300","168000","306","173804","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","322","526276","0.0-2.0-131.0-0.0","24","25736","female","NaN","","","","null","NaN","129","","Stimuli/Experimental_stims/localizer/outdoor_scenes/antoine-beauvillain-qrPqGP-SG8w-unsplash.jpg","525803","1","outdoor_scenes","","1","1","0","400","168300","473","174110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","323","526597","0.0-2.0-131.0-1.0","24","25736","female","null","","","","null","","129","","","526276","1","","","","","","300","168700","321","174583","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","324","527012","0.0-2.0-132.0-0.0","24","25736","female","NaN","","","","null","NaN","130","","Stimuli/Experimental_stims/localizer/outdoor_scenes/neom-THlO6Mkf5uI-unsplash.jpg","526597","1","outdoor_scenes","","0","1","0","400","169000","415","174904","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","325","527328","0.0-2.0-132.0-1.0","24","25736","female","null","","","","null","","130","","","527012","1","","","","","","300","169400","316","175319","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","326","527747","0.0-2.0-133.0-0.0","24","25736","female","34","","","","68","0","131","","Stimuli/Experimental_stims/localizer/outdoor_scenes/john-lee-oMneOBYhJxY-unsplash.jpg","527328","1","outdoor_scenes","","0","0","1","400","169700","419","175635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","327","528066","0.0-2.0-133.0-1.0","24","25736","female","null","","","","null","","131","","","527747","1","","","","","","300","170100","319","176054","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","328","528491","0.0-2.0-134.0-0.0","24","25736","female","50","","","","68","0","132","","Stimuli/Experimental_stims/localizer/outdoor_scenes/darrell-cassell-hoCXpPUMCoE-unsplash.jpg","528066","1","outdoor_scenes","","0","0","1","400","170400","425","176373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","329","528810","0.0-2.0-134.0-1.0","24","25736","female","null","","","","null","","132","","","528491","1","","","","","","300","170800","319","176798","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
