"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","scramble_acc","missed_checkup","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally"
"","iti_localizer","","html-keyboard-response","227","282398","0.0-2.0-74.0-1.0","33","97001","female","null","","","","null","","72","","","282092","1","","","","","","300","87700","306","88502","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","228","282803","0.0-2.0-75.0-0.0","33","97001","female","306","","","","68","0","73","","Stimuli/Experimental_stims/localizer/body_parts/natalie-grainger-8uB5kFKWWkk-unsplash.jpg","282398","1","body_parts","","0","0","1","400","88000","405","88808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","229","283108","0.0-2.0-75.0-1.0","33","97001","female","null","","","","null","","73","","","282803","1","","","","","","300","88400","305","89213","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","230","283515","0.0-2.0-76.0-0.0","33","97001","female","284","","","","68","0","74","","Stimuli/Experimental_stims/localizer/body_parts/debby-hudson--B_757qSA4k-unsplash.jpg","283108","1","body_parts","","0","0","1","400","88700","407","89518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","231","283822","0.0-2.0-76.0-1.0","33","97001","female","null","","","","null","","74","","","283515","1","","","","","","300","89100","307","89925","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","232","284227","0.0-2.0-77.0-0.0","33","97001","female","266","","","","68","0","75","","Stimuli/Experimental_stims/localizer/body_parts/pure-julia-E9Q4bqYHtIM-unsplash.jpg","283822","1","body_parts","","0","0","1","400","89400","405","90232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","233","284533","0.0-2.0-77.0-1.0","33","97001","female","null","","","","null","","75","","","284227","1","","","","","","300","89800","306","90637","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","234","284938","0.0-2.0-78.0-0.0","33","97001","female","251","","","","68","0","76","","Stimuli/Experimental_stims/localizer/body_parts/charles-etoroma-1fo0biloDOc-unsplash.jpg","284533","1","body_parts","","0","0","1","400","90100","405","90943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","235","285243","0.0-2.0-78.0-1.0","33","97001","female","null","","","","null","","76","","","284938","1","","","","","","300","90500","305","91348","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","236","285650","0.0-2.0-79.0-0.0","33","97001","female","197","","","","68","0","77","","Stimuli/Experimental_stims/localizer/body_parts/david-fanuel-qnV8X7OViNY-unsplash.jpg","285243","1","body_parts","","0","0","1","400","90800","407","91653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
