"PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path"
NA,83,"H","original",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,84,"L","original",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,85,"L","scramble",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,600,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,86,"G","original",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,87,"K","scramble",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,88,"E","original",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,89,"B","original",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,90,"E","scramble",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,91,"J","original",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,92,"A","scramble",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,93,"I","original",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,94,"C","scramble",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,95,"J","scramble",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,96,"G","scramble",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,97,"D","original",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,98,"H","scramble",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,99,"A","original",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,100,"C","original",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
