,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,right_category,left_rating,right_rating,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,iti,long_iti,simulation,version
176,30126,0,177,3,3,0,no_gain2,gain6,L,C,18,34,faces,body_parts,43,15,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,0,1,971,0,unchosen,18,34,faces,body_parts,2200,0,3,3
177,30126,0,178,3,3,1,gain1,no_gain2,G,L,3,18,outdoor_scenes,faces,59,43,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,0,1,912,1,unchosen,3,18,outdoor_scenes,faces,1400,0,3,3
178,30126,0,179,3,3,1,gain3,no_gain2,B,L,12,27,faces,body_parts,61,75,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,0,1,1019,1,chosen,12,27,faces,body_parts,1100,0,3,3
179,30126,0,180,3,3,1,gain4,no_gain1,D,H,47,9,objects,outdoor_scenes,56,59,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,0,1,1189,1,chosen,47,9,objects,outdoor_scenes,1400,0,3,3
180,30126,0,181,3,3,1,gain1,no_gain4,G,A,3,2,outdoor_scenes,outdoor_scenes,59,72,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,0,0,827,0,unchosen,2,3,outdoor_scenes,outdoor_scenes,1700,0,3,3
181,30126,0,182,3,3,1,gain1,no_gain4,G,A,36,39,objects,objects,14,67,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,0,0,780,0,chosen,39,36,objects,objects,3400,1,3,3
182,30126,0,183,3,3,1,gain3,no_gain5,B,J,12,43,faces,objects,61,82,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,0,1,801,1,chosen,12,43,faces,objects,1000,0,3,3
183,30126,0,184,3,3,1,gain1,no_gain6,G,E,3,32,outdoor_scenes,body_parts,59,34,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,0,0,1054,0,unchosen,32,3,body_parts,outdoor_scenes,1200,0,3,3
184,30126,0,185,3,3,0,no_gain5,gain4,J,D,20,22,faces,faces,44,46,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,0,1,885,0,unchosen,20,22,faces,faces,1200,0,3,3
185,30126,0,186,3,3,0,no_gain1,gain2,H,K,9,26,outdoor_scenes,body_parts,59,41,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,0,0,1214,1,chosen,26,9,body_parts,outdoor_scenes,2800,0,3,3
