,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
44,,45,G,scramble,0,1,2,objects,outdoor_scenes,,,,,,,1300.0,1800.0,right,,0,,,,,,,,,0.0,29,4
45,,46,J,scramble,0,1,2,faces,objects,,,,,,,1000.0,1800.0,left,,0,,,,,,,,,0.0,29,4
46,,47,B,original,0,1,2,outdoor_scenes,faces,,,,,,,1700.0,,,,0,,,,,,,,,0.0,29,4
47,,48,I,scramble,0,1,2,body_parts,outdoor_scenes,,,,,,,1200.0,1300.0,right,,0,,,,,,,,,0.0,29,4
48,,49,H,original,0,1,2,faces,outdoor_scenes,,,,,,,2800.0,,,,0,,,,,,,,,0.0,29,4
49,,50,L,scramble,0,1,2,body_parts,faces,,,,,,,1400.0,1300.0,left,,0,,,,,,,,,0.0,29,4
50,,51,E,scramble,0,1,2,objects,body_parts,,,,,,,1300.0,1000.0,left,,0,,,,,,,,,0.0,29,4
51,,52,J,original,0,1,2,faces,objects,,,,,,,4900.0,,,,0,,,,,,,,,1.0,29,4
52,,53,E,scramble,0,2,3,objects,body_parts,,,,,,,3800.0,900.0,right,,0,,,,,,,,,1.0,1,4
53,,54,J,original,0,2,3,faces,objects,,,,,,,2100.0,,,,0,,,,,,,,,0.0,1,4
54,,55,K,original,0,2,3,body_parts,objects,,,,,,,1500.0,,,,0,,,,,,,,,0.0,1,4
55,,56,K,scramble,0,2,3,body_parts,objects,,,,,,,2100.0,900.0,left,,0,,,,,,,,,0.0,1,4
56,,57,E,original,0,2,3,objects,body_parts,,,,,,,1400.0,,,,0,,,,,,,,,0.0,1,4
57,,58,L,scramble,0,2,3,body_parts,faces,,,,,,,2400.0,1200.0,left,,0,,,,,,,,,0.0,1,4
58,,59,A,original,0,2,3,outdoor_scenes,objects,,,,,,,1400.0,,,,0,,,,,,,,,0.0,1,4
59,,60,H,original,0,2,3,faces,outdoor_scenes,,,,,,,1400.0,,,,0,,,,,,,,,0.0,1,4
60,,61,A,scramble,0,2,3,outdoor_scenes,objects,,,,,,,1500.0,1400.0,left,,0,,,,,,,,,0.0,1,4
61,,62,C,scramble,0,2,3,outdoor_scenes,body_parts,,,,,,,2900.0,1000.0,left,,0,,,,,,,,,1.0,1,4
62,,63,C,original,0,2,3,outdoor_scenes,body_parts,,,,,,,2000.0,,,,0,,,,,,,,,0.0,1,4
63,,64,G,original,0,2,3,objects,outdoor_scenes,,,,,,,2000.0,,,,0,,,,,,,,,0.0,1,4
64,,65,G,scramble,0,2,3,objects,outdoor_scenes,,,,,,,2100.0,1300.0,right,,0,,,,,,,,,0.0,1,4
65,,66,F,scramble,0,2,3,faces,body_parts,,,,,,,2100.0,1100.0,left,,0,,,,,,,,,0.0,1,4
66,,67,L,original,0,2,3,body_parts,faces,,,,,,,4500.0,,,,0,,,,,,,,,1.0,1,4
67,,68,B,scramble,0,2,3,outdoor_scenes,faces,,,,,,,1500.0,1400.0,right,,0,,,,,,,,,0.0,1,4
68,,69,D,scramble,0,2,3,objects,faces,,,,,,,1500.0,1500.0,right,,0,,,,,,,,,0.0,1,4
69,,70,I,original,0,2,3,body_parts,outdoor_scenes,,,,,,,1300.0,,,,0,,,,,,,,,0.0,1,4
