,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,no_response
26,47210,0,1,1,27,intact,1,1,G,G,1000,44,6,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,1,1,NaN,0,20,3,objects,outdoor_scenes,954,0
27,47210,0,1,2,28,intact,1,1,B,B,2700,11,23,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,0,0,NaN,0,20,3,outdoor_scenes,faces,1220,0
28,47210,0,1,2,29,recombined,0,0,,H,1300,13,0,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,0,1,NaN,0,20,3,faces,outdoor_scenes,1375,0
29,47210,0,1,2,30,recombined,0,1,,J,1100,19,38,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,1,0,NaN,0,20,3,faces,objects,1496,0
30,47210,0,1,2,31,intact,1,1,K,K,4100,25,46,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,1,1,NaN,1,20,3,body_parts,objects,1240,0
31,47210,0,1,2,32,recombined,0,0,,I,1100,46,24,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,1,0,NaN,0,20,3,objects,body_parts,707,0
32,47210,0,1,2,33,intact,1,1,I,I,1000,24,8,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,1,1,NaN,0,20,3,body_parts,outdoor_scenes,868,0
33,47210,0,1,2,34,intact,1,0,H,H,1500,17,0,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,0,0,NaN,0,20,3,faces,outdoor_scenes,1105,0
34,47210,0,1,2,35,recombined,0,1,,G,1300,44,17,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,1,0,NaN,0,20,3,objects,faces,915,0
35,47210,0,1,2,36,intact,1,1,D,D,1300,36,14,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,1,1,NaN,0,20,3,objects,faces,1046,0
36,47210,0,1,2,37,recombined,0,0,,B,2300,14,11,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,1,0,NaN,0,20,3,faces,outdoor_scenes,1281,0
37,47210,0,1,2,38,recombined,0,1,,L,4000,35,5,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,0,1,NaN,1,20,3,body_parts,outdoor_scenes,1013,0
38,47210,0,1,2,39,intact,1,0,A,A,1700,1,41,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,0,0,NaN,0,20,3,outdoor_scenes,objects,1026,0
39,47210,0,1,2,40,recombined,0,1,,K,1700,25,45,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,1,0,NaN,0,20,3,body_parts,objects,608,0
40,47210,0,1,2,41,intact,1,1,L,L,1200,35,16,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,1,1,NaN,0,20,3,body_parts,faces,582,0
41,47210,0,1,2,42,recombined,0,1,,A,2200,41,23,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,1,0,NaN,0,20,3,objects,faces,754,0
42,47210,0,1,2,43,recombined,0,0,,F,1400,6,28,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,0,1,NaN,0,20,3,outdoor_scenes,body_parts,794,0
