,intact,intact_derivative,recombined,recombined_derivative,.5*intact + .5*recombined,intact - recombined,simulation,version,run,.5*recombined + .5*intact,recombined - intact
94,1.6801872387028556,3.1969956043883916,1.953220626470656,2.9528718720372806,,,45,2,1,1.536831715163606,1.255954895917004
95,1.8043384255884134,2.860252042750741,1.7888204956841118,2.8543559795351254,,,46,2,1,1.2398114451690523,1.0044577419891534
96,1.8724102867717503,3.5007875979565424,1.7547938922347441,3.6017957065235535,,,47,2,1,1.1406707858732479,1.0508492398725888
97,1.5144611373386456,2.651954346972116,1.5467252814579164,2.5982705547975837,,,48,2,1,1.1028204744619714,1.0075645998338805
98,1.6002113435271073,3.268723197378206,1.5202203460780563,3.3567398465625273,,,49,2,1,1.0443228385025527,1.0256244557968726
99,1.807385915852015,3.1953013708611233,1.9016090349855366,3.10588310611037,,,50,2,1,1.088967932950995,1.0576130087961382
100,1.8708713425569696,3.723087781993774,1.8209858649541397,3.7673406536237004,,,1,3,1,1.1376829129375983,1.0135893131490112
101,1.740244630034116,3.310859357916251,1.6923405468712436,3.3567996832550744,1.0553173189597855,1.0147624042957872,2,3,1,,
102,1.7271380757405979,2.771321640760843,1.6149316565984237,2.899100272388174,,,3,3,1,1.0739395954188695,1.0872619398946735
103,1.4194813702683502,2.7389740511786105,1.425959658343494,2.7292866127291013,,,4,3,1,1.1507083047297517,1.0238961305983298
104,1.316025979813357,2.304028630727756,1.2907426406704343,2.328854123395035,,,5,3,1,1.0434169993457696,1.0038627639683284
105,2.18491615830634,3.1270734191094425,2.0831686076254994,3.217962968890262,,,6,3,1,1.0735205455167518,1.069384630662713
106,1.3402237722306145,2.783043507027173,1.4797237144957887,2.6575386412659485,,,7,3,1,1.0826934496596377,1.0815734527321708
107,2.1609049203309043,3.251641534371709,1.9405589089134108,3.460034113308192,,,8,3,1,1.1397819726486975,1.2030434193633894
108,1.3848258073783273,2.5456067445767196,1.5156055872707617,2.4223262311885922,,,9,3,1,1.2364420217574368,1.104518127133359
109,1.6370490292790258,2.4574160456470944,1.512231626116905,2.574664589156358,,,10,3,1,1.3919922608659605,1.101618961181287
110,1.9661654259031092,3.1667233067602005,1.807316347691509,3.2967622167103574,,,11,3,1,1.0827811987478977,1.0866556929351288
111,1.6224439373811224,2.239739923505362,1.6407830364700842,2.2225351168260192,1.0287023169591112,1.0196605379966956,12,3,1,,
112,1.835948099711668,2.9990739020119794,1.9313389408903094,2.916526591206922,1.0615711886197197,1.0519277794464243,13,3,1,,
113,1.9543102959449417,3.5901910919088493,1.9687282464456684,3.6039658604106206,1.0953573820650362,1.0133621328288682,14,3,1,,
114,1.6775164129587474,3.620495032133294,1.6329095384103576,3.648187916284734,,,15,3,1,1.0601478022249649,1.0088069520841172
115,1.6576843965744539,2.465177247673604,1.6198610876373796,2.4880109409096574,,,16,3,1,1.032463429689149,1.0079071127204968
116,2.0307428460871484,3.8045755094581235,2.1430125111526945,3.6795555709672296,,,17,3,1,1.0790657564932926,1.0493174735439446
117,1.5313427684914138,2.486620228543437,1.629640241371346,2.388559553299047,,,18,3,1,1.0778271569739475,1.0653191562661755
118,1.772566295081044,2.9328731431767645,1.9769894549060847,2.7222780232654937,1.2481650785774148,1.1473741508223017,19,3,1,,
119,1.813734836216281,2.5364217639344755,1.814090072892535,2.535383378346055,,,20,3,1,1.0368280227610926,1.000314516358582
120,1.9683453264275712,3.299456566228944,1.876047215650204,3.3883237520212797,,,21,3,1,1.0716323805894512,1.0970202009009387
