"","PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version","no_response","acc"
"84",21859,0,84,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/james-marty-h1BuNJZzpC8-unsplash.jpg",1,95,4,0,0
"85",21859,0,85,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/drew-hays-agGIKYs4mYs-unsplash.jpg",1,25,4,0,0
"86",21859,0,86,1,"faces",400,14000,0,"Stimuli/Experimental_stims/localizer/faces/jakob-owens-lkMJcGDZLVs-unsplash.jpg",1,4,4,0,0
"87",21859,0,87,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/marcel-fagin-OUYg0Q3ec-Y-unsplash.jpg",NA,NA,4,1,0
"88",21859,0,88,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/helen-ast-l2iY5Sh0mTg-unsplash.jpg",NA,NA,4,1,0
"89",21859,0,89,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/luisa-denu-o5EU_lUB1rg-unsplash.jpg",0,112,4,0,1
"90",21859,0,90,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg",0,63,4,0,1
"91",21859,0,91,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-9Zf6yh7RYbQ-unsplash.jpg",0,26,4,0,1
"92",21859,0,92,1,"body_parts",400,300,1,"Stimuli/Experimental_stims/localizer/body_parts/sandra-seitamaa-YCc_YAAhY3I-unsplash.jpg",0,15,4,0,0
"93",21859,0,93,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg",1,84,4,0,0
"94",21859,0,94,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/bady-abbas-N-VEeMnm7gE-unsplash.jpg",1,290,4,0,0
"95",21859,0,95,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sydney-herron-b2W04fGuS70-unsplash.jpg",0,4,4,0,1
"96",21859,0,96,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/matthew-wheeler-2_UxqsaDMmo-unsplash.jpg",1,24,4,0,0
"97",21859,0,97,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-Q7qRyaurQfo-unsplash.jpg",1,111,4,0,0
"98",21859,0,98,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-pdynOoM7xmA-unsplash.jpg",1,14,4,0,0
"99",21859,0,99,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/nadine-shaabana-ypyaaEf2ntM-unsplash.jpg",0,102,4,0,1
"100",21859,0,100,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/louis-hansel-FjKTMRTQYAs-unsplash.jpg",1,81,4,0,0
"101",21859,0,101,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/pure-julia-9lVaya31sMk-unsplash.jpg",1,285,4,0,0
"102",21859,0,102,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg",0,118,4,0,1
"103",21859,0,103,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/bady-abbas-pIySu25o0bM-unsplash.jpg",0,72,4,0,1
"104",21859,0,104,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/hu-chen-tCbTGNwrFNM-unsplash.jpg",0,183,4,0,1
"105",21859,0,105,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sina-rezakhani-d1gQi0Jl05U-unsplash (1).jpg",0,47,4,0,1
"106",21859,0,106,1,"body_parts",400,14000,1,"Stimuli/Experimental_stims/localizer/body_parts/ant-rozetsky-bXQd8JXx0vs-unsplash.jpg",1,228,4,0,1
"107",21859,0,107,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg",NA,NA,4,1,0
"108",21859,0,108,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/ken-cheung-KonWFWUaAuk-unsplash.jpg",0,355,4,0,1
"109",21859,0,109,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/rod-sot-X_vbB7wfv5k-unsplash.jpg",1,41,4,0,0
"110",21859,0,110,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/kenneth-thewissen-D76DklsG-5U-unsplash.jpg",0,17,4,0,1
"111",21859,0,111,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/andres-sanz-uILhNE1VcwA-unsplash.jpg",0,77,4,0,1
"112",21859,0,112,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/tomasz-filipek-CUWC-6MRcNg-unsplash.jpg",NA,NA,4,1,0
"113",21859,0,113,1,"outdoor_scenes",400,300,1,"Stimuli/Experimental_stims/localizer/outdoor_scenes/samuel-ferrara-IEHPDNk2-8w-unsplash.jpg",0,73,4,0,0
"114",21859,0,114,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/damian-patkowski-T-LfvX-7IVg-unsplash.jpg",1,85,4,0,0
"115",21859,0,115,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/mark-harpur-K2s_YE031CA-unsplash.jpg",1,62,4,0,0
"116",21859,0,116,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/erol-ahmed-d3pTF3r_hwY-unsplash.jpg",0,151,4,0,1
"117",21859,0,117,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/dave-hoefler-lsoogGC_5dg-unsplash.jpg",0,199,4,0,1
"118",21859,0,118,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/quentin-zwzeorQPepo-unsplash.jpg",0,4,4,0,1
"119",21859,0,119,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/michael-martinelli-mFbrMEVKCkc-unsplash.jpg",NA,NA,4,1,0
"120",21859,0,120,1,"outdoor_scenes",400,300,1,"Stimuli/Experimental_stims/localizer/outdoor_scenes/tim-swaan-eOpewngf68w-unsplash (1).jpg",1,218,4,0,1
"121",21859,0,121,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/jaanus-jagomagi-FddgewYQF2M-unsplash.jpg",0,126,4,0,1
"122",21859,0,122,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/simon-berger-UqCnDyc_3vA-unsplash.jpg",0,122,4,0,1
"123",21859,0,123,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/pascal-debrunner-1WQ5RZuH9xo-unsplash.jpg",1,82,4,0,0
"124",21859,0,124,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/nicolas-jehly-LzVB84KkZOE-unsplash.jpg",0,53,4,0,1
"125",21859,0,125,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg",0,206,4,0,1
"126",21859,0,126,1,"outdoor_scenes",400,14000,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/quino-al-vmZ2DehWQ3Q-unsplash.jpg",1,12,4,0,0
"127",21859,0,127,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/anelya-okapova-V69kmOyZ3SU-unsplash.jpg",NA,NA,4,1,0
"128",21859,0,128,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/pure-julia-E9Q4bqYHtIM-unsplash.jpg",0,382,4,0,1
"129",21859,0,129,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/i-am_nah--S4OsO0c6Ts-unsplash.jpg",0,92,4,0,1
"130",21859,0,130,1,"body_parts",400,300,1,"Stimuli/Experimental_stims/localizer/body_parts/boyd-christiansen-uVj7kewrZ-o-unsplash.jpg",1,93,4,0,1
"131",21859,0,131,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg",0,23,4,0,1
"132",21859,0,132,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/ben-hartley-RbrsejLGVZ8-unsplash.jpg",1,16,4,0,0
"133",21859,0,133,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-QyzlAZjm0r0-unsplash.jpg",1,27,4,0,0
"134",21859,0,134,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/adrien-king-XzBluXxBoyQ-unsplash.jpg",1,105,4,0,0
"135",21859,0,135,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/ignacio-campo-tC9boyqy_40-unsplash.jpg",1,83,4,0,0
"136",21859,0,136,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/igordoon-primus-CdyHqfrbGIs-unsplash.jpg",0,51,4,0,1
"137",21859,0,137,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/freestocks-qw9LFf5T790-unsplash.jpg",0,10,4,0,1
"138",21859,0,138,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/charles-etoroma-1fo0biloDOc-unsplash.jpg",0,4,4,0,1
"139",21859,0,139,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/diana-polekhina-SwWjCbIIoFE-unsplash.jpg",1,108,4,0,0
"140",21859,0,140,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/xavier-foucrier-dLZUNHsT8vo-unsplash.jpg",1,136,4,0,0
"141",21859,0,141,1,"body_parts",400,300,1,"Stimuli/Experimental_stims/localizer/body_parts/matheus-frade-eyzdb1C3JDM-unsplash.jpg",0,173,4,0,0
"142",21859,0,142,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/nihal-karkala-LlOfbQD-IJ0-unsplash.jpg",0,73,4,0,1
"143",21859,0,143,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/femme-spirit-RGYBDUHYbyM-unsplash.jpg",1,136,4,0,0
"144",21859,0,144,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/jan-romero-DL4DDQb8yjc-unsplash.jpg",1,40,4,0,0
"145",21859,0,145,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/louisa-potter-zd29nBmLuig-unsplash.jpg",0,33,4,0,1
"146",21859,0,146,1,"body_parts",400,14000,0,"Stimuli/Experimental_stims/localizer/body_parts/juja-han-Z8-6EI2tYtw-unsplash.jpg",1,3,4,0,0
"147",21859,0,147,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/wai-siew-mTFyV8oNDzU-unsplash.jpg",NA,NA,4,1,0
"148",21859,0,148,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/gabriel-garcia-marengo-ht9aLtovtSo-unsplash.jpg",0,172,4,0,1
"149",21859,0,149,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/dawid-zawila--G3rw6Y02D0-unsplash.jpg",0,155,4,0,1
"150",21859,0,150,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg",0,106,4,0,1
"151",21859,0,151,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/wil-stewart-pHANr-CpbYM-unsplash.jpg",0,32,4,0,1
"152",21859,0,152,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/john-fowler-aaIN3y2zcMQ-unsplash.jpg",1,112,4,0,0
"153",21859,0,153,1,"outdoor_scenes",400,300,1,"Stimuli/Experimental_stims/localizer/outdoor_scenes/jeremy-cai-ucYWe5mzTMU-unsplash.jpg",1,45,4,0,1
"154",21859,0,154,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/luca-bravo-VowIFDxogG4-unsplash.jpg",1,182,4,0,0
"155",21859,0,155,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/keith-hardy-UVyavSwslOg-unsplash.jpg",1,112,4,0,0
"156",21859,0,156,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/neom-THlO6Mkf5uI-unsplash.jpg",1,81,4,0,0
"157",21859,0,157,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/antoine-beauvillain-qrPqGP-SG8w-unsplash.jpg",1,95,4,0,0
